ZipCode,State,County,May5CovidRestrictionsRank,May19CovidRestrictionsRank,CovidRestrictionsCategorical,HitDateByState(June26),Population,NumericalRestriction,DateBeginRestrictions,CovidImpactCategorical,Covid.per.10.000,NumCovidCases(Mid/late June),AreaName,PVI,District,PVI#,NumSocSec65,PropSocSec65,LandSqMi,PopDensity,PopDensityCategorical,MedianAge,MedianHouseholdIncome,MedHouseIncomeCategorical,PercentPoverty,PercentWhite,RaceCategorical,Race,PercentBlack,PercentAsian,PercentHispanic,PercentAmericanIndians,TotalRace,HousingCategorical,RUCA2,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30
60165,IL,Cook,48,51,High,Mid,4923,37,3/16/2020,High,375.79,185,Stone Park,D+33,IL-04,33,305,0.0620,0.3,16410.00,High,30.3,59022,Mid,19.4,4.8,Hispanic,Hispanic,0,3.1,88.6,0,96.5,Low,1,169881,170478,172169,173870,174310,174751,174951,176159,176493,176878,176764,176881,177137,177533
60181,IL,Dupage,48,51,High,Mid,28801,37,3/16/2020,Mid,92.36,266,Villa Park,D+20/R+2/D+8,IL-05/06/08,8.7,"3,665",0.1273,6.6,4363.79,High,37.9,69488,Mid,8.1,60.7,Majority White,White,0,9.4,22.4,0,92.5,Mid,1,246625,246986,247478,247664,248398,248697,249115,249703,250645,251668,252418,252739,252613,252851
60409,IL,Cook,48,51,High,Mid,36955,37,3/16/2020,High,166.15,614,Calumet City,D+29,IL-02,29,"4,520",0.1223,7.5,4927.33,High,37.1,42718,Low,18.9,9.7,Mostly Black,Black,74.3,0,15.1,0,99.1,Very Low,1,96358,96168,96547,97184,97538,97986,98313,99002,99214,98917,98371,97832,97992,97973
60411,IL,Cook,48,51,High,Mid,57800,37,3/16/2020,High,164.53,951,South Chicago Heights,D+29,IL-02,29,"6,075",0.1051,31.7,1823.34,High,34.2,46771,Low,23.7,20.5,Majority Black,Black,50.1,0,26.5,0,97.1,Low,1,94205,94845,95971,97126,97901,98689,99242,99982,100667,101173,101735,102369,102884,102927
60440,IL,Will,48,51,High,Mid,52246,37,3/16/2020,High,172.07,899,Bolingbrook,D+9,IL-11,9,"5,525",0.1057,16.1,3245.09,High,35.6,73813,Mid,9,38.4,No Majority,Mixed,20.1,0,29.3,0,87.8,Mid,1,209721,210631,211170,211940,211974,212027,212039,212579,213271,213917,214645,214925,215272,215052
60452,IL,Cook,48,51,High,Mid,28324,37,3/16/2020,Mid,88.62,251,Oak Forest,D+27/D+29,IL-01/02,28,"3,740",0.1320,9.3,3045.59,High,41.4,75844,Mid,6.7,75.8,Mostly White,White,5,0,14.4,0,95.2,Mid,1,203008,202944,203462,203565,203740,203754,203618,203330,203297,203665,204178,204677,204890,205218
60462,IL,Cook,48,51,High,Mid,40305,37,3/16/2020,Mid,85.60,345,Orland Park,D+27,IL-01,27,"7,985",0.1981,15.7,2567.20,High,43.3,83324,Mid,4.8,82.5,Mostly White,White,4.2,0,8.7,0,95.4,Mid,1,288691,288308,288219,288110,288029,287985,287757,287298,286895,286990,287276,287528,287596,287853
60545,IL,Kendall,48,51,High,Mid,13259,37,3/16/2020,High,115.39,153,Plano,R+5,IL-14,-5,"1,380",0.1041,37.9,349.84,Mid,33.1,72542,Mid,16,59.2,Majority White,White,9.2,0,28.3,0,96.7,Low,2,177871,177795,177914,177941,177771,177851,177836,177372,177116,177277,177922,178551,179033,179361
60559,IL,Dupage,48,51,High,Mid,24529,37,3/16/2020,High,136.17,334,Westmont,D+20/R+2,IL-05/06,9,"3,300",0.1345,4.9,5005.92,High,39.1,67598,Mid,12,64.5,Majority White,White,0,13.5,13,0,91,Mid,1,282458,282800,283261,282336,282412,282292,282330,282547,283013,283413,283250,282533,280819,279791
60621,IL,Cook,48,51,High,Mid,29042,37,3/16/2020,High,195.58,568,Chicago,D+27/D+38,IL-01/07,32.5,"2,805",0.0966,3.7,7849.19,High,34,20991,Very Low,43.5,1.1,Black,Black,94.3,0,3.7,0,99.1,Very Low,1,50972,51066,51129,51620,51746,51970,51913,52063,52563,53003,53404,53649,54246,54684
